# r psi_0 psi_1
0.3 0.436908469443922 -0.186589569408024
0.6 0.650146497972223 -0.264957494593779
0.9 0.725593193375753 -0.269137755862602
1.2 0.71981778541699 -0.224873662501729
1.5 0.669457656176346 -0.151376361841568
1.8 0.597715786309848 -0.0627416732767855
2.1 0.518837847896622 0.030912246244552
2.4 0.441177525951289 0.122534840284743
2.7 0.369279468125589 0.207418219084464
3 0.305281935542836 0.282622421190015
3.3 0.249850950113654 0.346522189990373
3.6 0.202793880734926 0.398451760574873
3.9 0.163455369684425 0.438428431861716
4.2 0.130966824428082 0.466939232479398
4.5 0.104398497989898 0.484777902203829
4.8 0.0828476782828309 0.492921808991366
5.1 0.0654857283851799 0.492440392585941
5.4 0.0515792628113887 0.484428342556938
5.7 0.040495615136794 0.469958042494363
6 0.0316992470080545 0.450046893792805
6.3 0.0247433720538756 0.425636014296531
6.6 0.0192594721920292 0.397577524212059
6.9 0.0149463243189656 0.36662821330994
7.2 0.0115594621050821 0.333447853738046
7.5 0.00890155229574205 0.298600801801068
7.8 0.00681388572494276 0.262559836406193
8.1 0.0051690139148074 0.225711425228423
8.4 0.00386446418397073 0.188361803305691
8.7 0.00281741347622394 0.150743402033631
9 0.00196017598718916 0.113021287036039
9.3 0.00123635023352641 0.0752993574100097
9.6 0.000597469482994681 0.0376261315166075
