# xs ys
0 3.04159265358979
0.125 3.03772582299794
0.25 3.02592571340963
0.375 3.00553082881267
0.5 2.97524019487194
0.625 2.93304020739297
0.75 2.87608801799873
0.875 2.80055495139825
1 2.70144320850548
1.125 2.57241352597688
1.25 2.40571446532795
1.375 2.19240595371096
1.5 1.92323324708061
1.625 1.5906773482998
1.75 1.19261823037012
1.875 0.737122662097537
2 0.245818236311549
2.125 -0.24810030320809
2.25 -0.708383437101231
2.375 -1.10588661642348
2.5 -1.42387992912152
2.625 -1.65695299372591
2.75 -1.80659722730281
2.875 -1.87683173074604
3 -1.87136445232459
3.125 -1.79238940101533
3.25 -1.64074215303256
3.375 -1.41726399408611
3.5 -1.12532085915243
3.625 -0.774078777317072
3.75 -0.381198578942067
3.875 0.0272355100849072
4 0.420866522978143
4.125 0.771641228297755
4.25 1.05902213366941
4.375 1.27140038356452
4.5 1.40430652365098
4.625 1.45752389749865
4.75 1.43278346153803
4.875 1.33274663998059
5 1.16135000625599
5.125 0.925265389472106
5.25 0.635874644747906
5.375 0.310646753301988
5.5 -0.027426849080151
5.625 -0.352886131261532
5.75 -0.64219077956655
5.875 -0.877241368332696
6 -1.04660352627761
6.125 -1.14467867382814
6.25 -1.17004274069615
6.375 -1.12408336746462
6.5 -1.01050656403581
6.625 -0.8357570796717
6.75 -0.609980878112619
6.875 -0.347801960780675
7 -0.0680382780488179
7.125 0.20812954861767
7.25 0.460091136715932
7.375 0.670612074672648
7.5 0.827406804607336
7.625 0.923251826437987
7.75 0.955210709810003
7.875 0.923751292688353
8 0.832279753777593
8.125 0.687216261035458
8.25 0.498370533976241
8.375 0.279115956003482
8.5 0.0458241534628749
8.625 -0.183662941360895
8.75 -0.392176480073422
8.875 -0.565220625545813
9 -0.692176275571684
9.125 -0.766565648748005
9.25 -0.785707046650434
9.375 -0.750235135791454
9.5 -0.66381468083406
9.625 -0.533106221947953
9.75 -0.367789491005271
9.875 -0.180309750802426
10 0.0149326683116321
