# acct Eacct epst Eepst
0.01 -0.500218240602842 0.01 -0.500218478037204
0.011 -0.500218298952743 0.011 -0.500218475547754
0.012 -0.500218313689411 0.012 -0.500218482470252
0.013 -0.500218338042008 0.013 -0.500218481310723
0.014 -0.50021836888482 0.014 -0.50021847932251
0.015 -0.500218412484796 0.015 -0.500218479368794
0.016 -0.500218480754888 0.016 -0.500218480680065
0.017 -0.500218564654502 0.017 -0.500218481720258
0.018 -0.500218669442138 0.018 -0.500218473212293
0.019 -0.500218800421625 0.019 -0.50021847453531
0.02 -0.500218954106001 0.02 -0.500218479551518
0.021 -0.500219136510106 0.021 -0.50021847630239
0.022 -0.500219352068987 0.022 -0.500218479797442
0.023 -0.500219595962839 0.023 -0.500218474342156
0.024 -0.500219880751377 0.024 -0.500218476433928
0.025 -0.500220203351659 0.025 -0.500218473073772
0.026 -0.500220567327934 0.026 -0.500218472068495
0.027 -0.500220977826601 0.027 -0.500218478035342
0.028 -0.500221436751426 0.028 -0.500218479219426
0.029 -0.500221946011125 0.029 -0.500218476337454
0.03 -0.50022250052248 0.03 -0.500218474971792
0.031 -0.500223120975159 0.031 -0.500218474493813
0.032 -0.500223801724963 0.032 -0.500218476753552
0.033 -0.500224546076829 0.033 -0.50021847463995
0.034 -0.500225357234811 0.034 -0.500218477912804
0.035 -0.500226237751603 0.035 -0.500218477427496
0.036 -0.500227192618038 0.036 -0.500218474609772
0.037 -0.500228220881317 0.037 -0.500218474175081
0.038 -0.500229333448179 0.038 -0.500250246425002
0.039 -0.500230528463712 0.039 -0.500250256626402
0.04 -0.500231811859716 0.04 -0.500250256001625
0.041 -0.500233187997373 0.041 -0.50025026045453
0.042 -0.500234657672318 0.042 -0.500250260012349
0.043 -0.500236225758163 0.043 -0.500250263050325
0.044 -0.500237895586159 0.044 -0.500250259874643
0.045 -0.500239670966534 0.045 -0.500250263070557
0.046 -0.500241555362888 0.046 -0.500250260210415
0.047 -0.500243552878159 0.047 -0.500250263792284
0.048 -0.500245666766102 0.048 -0.500250263173594
0.049 -0.500247901252976 0.049 -0.500250260415363
0.05 -0.50025025945084 0.05 -0.50025025945084
0.051 -0.50025274586413 0.051 -0.500250259279006
0.052 -0.500255363901105 0.052 -0.500250262708896
0.053 -0.500258116761632 0.053 -0.500250265892017
0.054 -0.500261009392536 0.054 -0.500250267967645
0.055 -0.500264044101004 0.055 -0.500250259127914
0.056 -0.500267226539927 0.056 -0.500250264361443
0.057 -0.500270557804837 0.057 -0.500250261971623
0.058 -0.500274040587639 0.058 -0.500250261023995
0.059 -0.500277664377728 0.059 -0.500250265348194
0.06 -0.500218473122768 0.06 -0.500250263648918
0.061 -0.500218473122768 0.061 -0.500250259194867
0.062 -0.500218473122768 0.062 -0.500250259965307
0.063 -0.500218473122768 0.063 -0.500250258754257
0.064 -0.500218473122768 0.064 -0.500250262894779
0.065 -0.500218473122768 0.065 -0.500250263090388
0.066 -0.500218473122768 0.066 -0.500250260190205
0.067 -0.500218473122768 0.067 -0.500250261674414
0.068 -0.500218473122768 0.068 -0.500250261877482
0.069 -0.500218473122768 0.069 -0.500250262590571
0.07 -0.500218473122768 0.07 -0.500250260700019
0.071 -0.500218473122768 0.071 -0.500250263726534
0.072 -0.500218473122768 0.072 -0.500250265870815
0.073 -0.500218473122768 0.073 -0.500250262663234
0.074 -0.500218473122768 0.074 -0.500250265412509
0.075 -0.500218473122768 0.075 -0.500250265550896
0.076 -0.500218473122768 0.076 -0.500250261500788
0.077 -0.500218473122768 0.077 -0.500250261739604
0.078 -0.500218473122768 0.078 -0.500250257024517
0.079 -0.500218473122768 0.079 -0.500250262712726
0.08 -0.500218473122768 0.08 -0.500250264536529
0.081 -0.500218473122768 0.081 -0.500250261228457
0.082 -0.500218473122768 0.082 -0.500250264382034
0.083 -0.500218473122768 0.083 -0.500250268613191
0.084 -0.500218473122768 0.084 -0.500250268752167
0.085 -0.500218473122768 0.085 -0.500250256797455
0.086 -0.500218473122768 0.086 -0.500250257733234
0.087 -0.500218473122768 0.087 -0.500250263104473
0.088 -0.500218473122768 0.088 -0.500250266880385
0.089 -0.500218473122768 0.089 -0.500250265785255
0.09 -0.500218473122768 0.09 -0.500250260804156
0.091 -0.500218473122768 0.091 -0.500250258329979
0.092 -0.500218473122768 0.092 -0.50025025950027
0.093 -0.500218473122768 0.093 -0.500250256976928
0.094 -0.500218473122768 0.094 -0.500250261435543
0.095 -0.500218473122768 0.095 -0.500250262293656
0.096 -0.500218473122768 0.096 -0.500250260245834
0.097 -0.500218473122768 0.097 -0.500250257135931
0.098 -0.500218473122768 0.098 -0.500250259372518
0.099 -0.500218473122768 0.099 -0.500250263408197
0.1 -0.500218473122768 0.1 -0.500250261558669
0.101 -0.500218473122768 0.101 -0.500250262098088
0.102 -0.500218473122768 0.102 -0.500250255689481
0.103 -0.500218473122768 0.103 -0.50025026034557
0.104 -0.500218473122768 0.104 -0.50025026150881
0.105 -0.500218473122768 0.105 -0.500250262226235
0.106 -0.500218473122768 0.106 -0.500250263316194
0.107 -0.500218473122768 0.107 -0.500250262031979
0.108 -0.500218473122768 0.108 -0.500250262825595
0.109 -0.500218473122768 0.109 -0.50025026346716
