# rmaxt Ermaxt rmint Ermint
1 2.38303076305849 0.01 -0.496593176016963
1.15 1.48043986112351 0.015 -0.496585968251066
1.3 0.895129102856253 0.02 -0.496585480536736
1.45 0.53190802454172 0.025 -0.496592626229919
1.6 0.264751925178502 0.03 -0.496608305537274
1.75 0.0690998320456962 0.035 -0.49663360572898
1.9 -0.0580190791569232 0.04 -0.496669738617632
2.05 -0.161297863338867 0.045 -0.496718004318076
2.2 -0.243782507143726 0.05 -0.496779244712115
2.35 -0.293697525730153 0.055 -0.496855294919555
2.5 -0.3403359511509 0.06 -0.496946918938709
2.65 -0.372408376984596 0.065 -0.497055686677382
2.8 -0.399988254312932 0.07 -0.497182705944346
2.95 -0.423840081691703 0.075 -0.497329378197921
3.1 -0.437293125429679 0.08 -0.497496921926632
3.25 -0.451496261829593 0.085 -0.497686775601551
3.4 -0.460838812409768 0.09 -0.497899883021268
3.55 -0.469509749861715 0.095 -0.498138028372338
3.7 -0.47772140813399 0.1 -0.49840201537561
3.85 -0.48119149786527 0.105 -0.498693719012781
4 -0.486027692758229 0.11 -0.499014029810024
4.15 -0.488727882941411 0.115 -0.499364534012996
4.3 -0.49162869677597 0.12 -0.499746516170733
4.45 -0.494780349602125 0.125 -0.500161513825659
4.6 -0.4953376478252 0.13 -0.500610660745527
4.75 -0.497082101820865 0.135 -0.501095775427265
4.9 -0.497749985751777 0.14 -0.501617934859544
5.05 -0.498735199939272 0.145 -0.502179060318512
5.2 -0.500039934864996 0.15 -0.502780350020898
5.35 -0.499870149137448 0.155 -0.503423536820832
5.5 -0.500516981887471 0.16 -0.504110186822026
5.65 -0.500618153845051 0.165 -0.504842049307466
5.8 -0.500948257829782 0.17 -0.505620599801071
5.95 -0.501505931648365 0.175 -0.506447888924264
6.1 -0.501275958930091 0.18 -0.507325472577051
6.25 -0.501513655494187 0.185 -0.508255328333167
6.4 -0.501499061632482 0.19 -0.509239333530977
6.55 -0.501605174538005 0.195 -0.510279541664736
6.7 -0.501835242621283 0.2 -0.51137786974019
6.85 -0.50169532350429 0.205 -0.512536544341523
7 -0.501776915334123 0.21 -0.513757701879671
7.15 -0.501760053153502 0.215 -0.515043690897864
7.3 -0.501791738821207 0.22 -0.51639677051241
7.45 -0.501876755084044 0.225 -0.517819477808045
7.6 -0.501816577515674 0.23 -0.519314304456302
7.75 -0.501841418439527 0.235 -0.520883961166615
7.9 -0.501835160243794 0.24 -0.522531124519054
8.05 -0.501843792998397 0.245 -0.524258737634112
8.2 -0.501870404461395 0.25 -0.526069719715599
8.35 -0.501851085714124 0.255 -0.527967246891695
8.5 -0.501857554323946 0.26 -0.529954510754596
8.65 -0.501891111687015 0.265 -0.532034953245042
8.8 -0.50185868793186 0.27 -0.534212058893366
8.95 -0.501865408192795 0.275 -0.536489566803353
9.1 -0.501861012947668 0.28 -0.538871292060048
9.25 -0.501862509998832 0.285 -0.541361307400613
9.4 -0.501870947686159 0.29 -0.543963793510292
9.55 -0.501863288448144 0.295 -0.54668319403138
9.7 -0.501864689899805 0.3 -0.55061565956042
9.85 -0.501875832241354 0.305 -0.55351504156244
10 -0.501864549974314 0.31 -0.556545999832723
10.15 -0.501866210250203 0.315 -0.559717160989038
10.3 -0.501865040487256 0.32 -0.563031053876953
10.45 -0.501865381488724 0.325 -0.566496429485597
10.6 -0.50186754539401 0.33 -0.570117856066359
10.75 -0.501865695558371 0.335 -0.573901661314857
10.9 -0.501866052423946 0.34 -0.577855606274669
11.05 -0.501868908249877 0.345 -0.581985835051715
11.2 -0.5018662663036 0.35 -0.586300795575993
11.35 -0.501866688368198 0.355 -0.590807191729634
11.5 -0.501870412069607 0.36 -0.595514507487329
11.65 -0.501866825428266 0.365 -0.600430232512905
11.8 -0.501867348647016 0.37 -0.605564351907348
11.95 -0.50186719389372 0.375 -0.610925424331199
12.1 -0.501867406680988 0.38 -0.616523924816042
12.25 -0.501855949505609 0.385 -0.622370647693939
12.4 -0.501855725420039 0.39 -0.628475987950463
12.55 -0.501856008387436 0.395 -0.634851496701173
12.7 -0.501856873711799 0.4 -0.641509583529138
12.85 -0.501856517057528 0.405 -0.64846267892036
13 -0.501856831214934 0.41 -0.655724463642347
13.15 -0.501857887239492 0.415 -0.663308719021761
13.3 -0.501857372136534 0.42 -0.671230523387859
13.45 -0.501857721679159 0.425 -0.679505187055999
13.6 -0.501857978181388 0.43 -0.688149337595563
13.75 -0.501858294933185 0.435 -0.697180066318348
13.9 -0.501858682868312 0.44 -0.706615545716168
14.05 -0.501858947383748 0.445 -0.716474966703351
14.2 -0.501859288703955 0.45 -0.726778416943009
14.35 -0.501859718992038 0.455 -0.73754718901434
14.5 -0.501859989434816 0.46 -0.748803606496382
14.65 -0.501860356488885 0.465 -0.760571307226977
14.8 -0.501860833162062 0.47 -0.7728751332353
14.95 -0.501861107111508 0.475 -0.785741315139727
15.1 -0.501861500930829 0.48 -0.799197527261325
15.25 -0.5018620287477 0.485 -0.813949163332257
15.4 -0.501862303085905 0.49 -0.828535084097856
15.55 -0.501862724776935 0.495 -0.843824558962731
15.7 -0.501863145114376 0.5 -0.859850262702887
15.85 -0.501863579979986 0.505 -0.876647316928316
